regiao;data;turno;praca;subpraca;logados;slots;pct_logados;horario_coleta;modal
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Portugal;20;20;100.0%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Aeroporto;18;20;90.0%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Lagoa Redonda;16;20;80.0%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Iracema;55;55;100.0%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Barra do Ceará;60;60;100.0%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;JANTAR 18H00-21H59;FORTALEZA;Lagoa Redonda;16;20;80.0%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;JANTAR 18H00-21H59;FORTALEZA;Barra do Ceará;82;83;98.8%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;JANTAR 18H00-21H59;FORTALEZA;Portugal;18;20;90.0%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;JANTAR 18H00-21H59;FORTALEZA;Iracema;104;107;97.2%;2026-07-16 18:05;Todos
Fortaleza;2026-07-16;JANTAR 18H00-21H59;FORTALEZA;Aeroporto;11;20;55.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;LIVRE;21;21;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;VILA JAGUARA E JAGUARA - SP;32;46;69.6%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Poke Garden - Brooklin;5;5;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Greenjoy - Wraps & Saladas- Pinheiros;0;1;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Perdomo Doces e Bolos - Tatuapé;1;1;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;CIDADE DAS FLORES - SP;4;46;8.7%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Garden One - Brooklin;2;4;50.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Vip Sushi - Vila Prudente;0;1;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Fast - Santana;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Pão Com Carne Hamburgueria - Mooca;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Pão Com Carne Hamburgueria - Mooca;0;1;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;VILA GUILHERMINA - SP;3;12;25.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Perdomo Doces e Bolos - Pinheiros;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;FE- Vip Sushi Pirituba | HUB Virtual;0;2;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;John's Burguer;1;2;50.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Garden One - Tatuapé;0;1;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PERDIZES - SP;5;51;9.8%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Padaria Real - Pinheiros;8;8;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;JABAQUARA E SANTO AMARO - SP;5;34;14.7%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;VILA JAGUARA E JAGUARA - SP;12;46;26.1%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Vip Sushi - Vila Prudente;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;LIVRE;13;21;61.9%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PINHEIROS - SP;48;93;51.6%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Perdomo Doces e Bolos - Pinheiros;2;2;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;ITAIM E BROOKLIN E INDIANAPOLIS - SP;43;119;36.1%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;MANDAQUI - SP;59;102;57.8%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;INTERLAGOS - SP;4;6;66.7%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Greentable - Bandeirantes;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;FE- Vip Sushi Osasco | HUB Virtual;0;2;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Greentable - Bandeirantes;1;2;50.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Garden One - Jardins;3;3;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PANAMBY E VILA SONIA - SP;17;58;29.3%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Greentable - Rebouças;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;MOOCA - SP;12;38;31.6%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PINHEIROS - SP;7;93;7.5%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;FE- Sushi por 0,99 Pompeia| HUB Virtual;1;1;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Greenjoy - Wraps & Saladas - Jardins;1;1;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;FE - Papila Centro | HUB Virtual;0;1;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Patties Tatuapé;1;3;33.3%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Greenjoy - Wraps & Saladas- Vila Olímpia;1;2;50.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;MOOCA - SP;8;38;21.1%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Poke Garden  - Jardins;1;2;50.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Patties Burger - Bandeirantes;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;SAO PAULO - BROOKLIN - (MINI BTU FD);1;1;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;CACHOEIRINHA - SP;16;63;25.4%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Patties Burger - Bandeirantes;1;1;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;SAO PAULO - JARDINS - (MINI BTU FD);0;1;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Patties Santana;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;ITAIM E BROOKLIN E INDIANAPOLIS - SP;19;119;16.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;SAO PAULO - PARAISO - (MINI BTU FD);1;1;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;TATUAPE - SP;4;43;9.3%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;CACHOEIRINHA - SP;16;63;25.4%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;SAO PAULO - PINHEIROS - (MINI BTU FD);0;1;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Patties Santana;0;1;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PANAMBY E VILA SONIA - SP;26;58;44.8%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;JABAQUARA E SANTO AMARO - SP;8;34;23.5%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;ACLIMACAO - SP;1;38;2.6%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;VILA GUILHERMINA - SP;10;12;83.3%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;TATUAPE - SP;17;43;39.5%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PERDIZES - SP;20;51;39.2%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;MANDAQUI - SP;38;102;37.3%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;INTERLAGOS - SP;3;6;50.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;ARICANDUVA - SP;1;11;9.1%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;ARICANDUVA - SP;4;11;36.4%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;CIDADE DAS FLORES - SP;29;46;63.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;ACLIMACAO - SP;7;38;18.4%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18H00-22H59;SP DEDICADO;Koto by Chef Makoto Okuwa;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18H00-22H59;SP DEDICADO;Z Deli - Centro;0;0;0%;2026-07-16 18:05;MOTORCYCLE
